"poll_codi","contaminant","data","Concentration","dt_h"
28,"CO",2019-01-05 19:00:00,400,18035
28,"CO",2019-01-05 20:00:00,400,18036
28,"CO",2019-01-05 21:00:00,500,18037
28,"CO",2019-01-05 22:00:00,800,18038
28,"CO",2019-01-05 23:00:00,600,18039
28,"CO",2019-01-06 00:00:00,700,18040
28,"CO",2019-01-06 01:00:00,500,18041
28,"CO",2019-01-06 02:00:00,300,18042
28,"CO",2019-01-06 03:00:00,300,18043
28,"CO",2019-01-06 04:00:00,300,18044
28,"CO",2019-01-06 05:00:00,300,18045
28,"CO",2019-01-06 06:00:00,300,18046
28,"CO",2019-01-06 07:00:00,300,18047
28,"CO",2019-01-06 08:00:00,200,18048
28,"CO",2019-01-06 09:00:00,200,18049
28,"CO",2019-01-06 10:00:00,200,18050
28,"CO",2019-01-06 11:00:00,300,18051
28,"CO",2019-01-06 12:00:00,300,18052
28,"CO",2019-01-06 13:00:00,300,18053
28,"CO",2019-01-06 14:00:00,300,18054
28,"CO",2019-01-06 15:00:00,300,18055
28,"CO",2019-01-06 16:00:00,300,18056
28,"CO",2019-01-06 17:00:00,300,18057
28,"CO",2019-01-06 18:00:00,300,18058
28,"CO",2019-01-06 19:00:00,300,18059
28,"CO",2019-01-06 20:00:00,300,18060
28,"CO",2019-01-06 21:00:00,500,18061
28,"CO",2019-01-06 22:00:00,700,18062
28,"CO",2019-01-06 23:00:00,700,18063
28,"CO",2019-01-07 00:00:00,600,18064
28,"CO",2019-01-07 01:00:00,300,18065
28,"CO",2019-01-07 02:00:00,300,18066
28,"CO",2019-01-07 03:00:00,300,18067
28,"CO",2019-01-07 04:00:00,300,18068
28,"CO",2019-01-07 05:00:00,300,18069
28,"CO",2019-01-07 06:00:00,300,18070
28,"CO",2019-01-07 07:00:00,300,18071
28,"CO",2019-01-07 08:00:00,400,18072
28,"CO",2019-01-07 09:00:00,400,18073
28,"CO",2019-01-07 10:00:00,300,18074
28,"CO",2019-01-07 11:00:00,300,18075
28,"CO",2019-01-07 12:00:00,300,18076
28,"CO",2019-01-07 13:00:00,300,18077
28,"CO",2019-01-07 14:00:00,300,18078
28,"CO",2019-01-07 15:00:00,300,18079
28,"CO",2019-01-07 16:00:00,300,18080
28,"CO",2019-01-07 17:00:00,300,18081
28,"CO",2019-01-07 18:00:00,300,18082
28,"CO",2019-01-07 19:00:00,400,18083
28,"CO",2019-01-07 20:00:00,400,18084
28,"CO",2019-01-07 21:00:00,500,18085
28,"CO",2019-01-07 22:00:00,500,18086
28,"CO",2019-01-07 23:00:00,500,18087
28,"CO",2019-01-08 00:00:00,500,18088
28,"CO",2019-01-08 01:00:00,400,18089
28,"CO",2019-01-08 02:00:00,400,18090
28,"CO",2019-01-08 03:00:00,300,18091
28,"CO",2019-01-08 04:00:00,300,18092
28,"CO",2019-01-08 05:00:00,300,18093
28,"CO",2019-01-08 06:00:00,300,18094
28,"CO",2019-01-08 07:00:00,300,18095
28,"CO",2019-01-08 08:00:00,400,18096
28,"CO",2019-01-08 09:00:00,600,18097
28,"CO",2019-01-08 10:00:00,800,18098
28,"CO",2019-01-08 11:00:00,600,18099
28,"CO",2019-01-08 12:00:00,300,18100
28,"CO",2019-01-08 13:00:00,300,18101
28,"CO",2019-01-08 14:00:00,300,18102
28,"CO",2019-01-08 15:00:00,300,18103
28,"CO",2019-01-08 16:00:00,300,18104
28,"CO",2019-01-08 17:00:00,300,18105
28,"CO",2019-01-08 18:00:00,400,18106
28,"CO",2019-01-08 19:00:00,500,18107
28,"CO",2019-01-08 20:00:00,800,18108
28,"CO",2019-01-08 21:00:00,500,18109
28,"CO",2019-01-08 22:00:00,400,18110
28,"CO",2019-01-08 23:00:00,300,18111
28,"CO",2019-01-09 00:00:00,300,18112
28,"CO",2019-01-09 01:00:00,300,18113
28,"CO",2019-01-09 02:00:00,300,18114
28,"CO",2019-01-09 03:00:00,300,18115
28,"CO",2019-01-09 04:00:00,300,18116
28,"CO",2019-01-09 05:00:00,300,18117
28,"CO",2019-01-09 06:00:00,300,18118
28,"CO",2019-01-09 07:00:00,400,18119
28,"CO",2019-01-09 08:00:00,400,18120
28,"CO",2019-01-09 09:00:00,300,18121
28,"CO",2019-01-09 10:00:00,300,18122
28,"CO",2019-01-09 11:00:00,300,18123
28,"CO",2019-01-09 12:00:00,300,18124
28,"CO",2019-01-09 13:00:00,300,18125
28,"CO",2019-01-09 14:00:00,300,18126
28,"CO",2019-01-09 15:00:00,300,18127
28,"CO",2019-01-09 16:00:00,300,18128
28,"CO",2019-01-09 17:00:00,300,18129
28,"CO",2019-01-09 18:00:00,300,18130
28,"CO",2019-01-09 19:00:00,300,18131
28,"CO",2019-01-09 20:00:00,300,18132
28,"CO",2019-01-09 21:00:00,300,18133
28,"CO",2019-01-09 22:00:00,400,18134
28,"CO",2019-01-09 23:00:00,300,18135
28,"CO",2019-01-10 00:00:00,300,18136
28,"CO",2019-01-10 01:00:00,300,18137
28,"CO",2019-01-10 02:00:00,300,18138
28,"CO",2019-01-10 03:00:00,400,18139
28,"CO",2019-01-10 04:00:00,300,18140
28,"CO",2019-01-10 05:00:00,300,18141
28,"CO",2019-01-10 06:00:00,300,18142
28,"CO",2019-01-10 07:00:00,300,18143
28,"CO",2019-01-10 08:00:00,300,18144
28,"CO",2019-01-10 09:00:00,400,18145
28,"CO",2019-01-10 10:00:00,400,18146
28,"CO",2019-01-10 11:00:00,300,18147
28,"CO",2019-01-10 12:00:00,300,18148
28,"CO",2019-01-10 13:00:00,300,18149
28,"CO",2019-01-10 14:00:00,300,18150
28,"CO",2019-01-10 15:00:00,300,18151
28,"CO",2019-01-10 16:00:00,300,18152
28,"CO",2019-01-10 17:00:00,300,18153
28,"CO",2019-01-10 18:00:00,300,18154
28,"CO",2019-01-10 19:00:00,300,18155
28,"CO",2019-01-10 20:00:00,300,18156
28,"CO",2019-01-10 21:00:00,300,18157
28,"CO",2019-01-10 22:00:00,300,18158
28,"CO",2019-01-10 23:00:00,300,18159
28,"CO",2019-01-11 00:00:00,300,18160
28,"CO",2019-01-11 01:00:00,300,18161
28,"CO",2019-01-11 02:00:00,300,18162
28,"CO",2019-01-11 03:00:00,300,18163
28,"CO",2019-01-11 04:00:00,300,18164
28,"CO",2019-01-11 05:00:00,300,18165
28,"CO",2019-01-11 06:00:00,400,18166
28,"CO",2019-01-11 07:00:00,300,18167
28,"CO",2019-01-11 08:00:00,400,18168
28,"CO",2019-01-11 09:00:00,700,18169
28,"CO",2019-01-11 10:00:00,600,18170
28,"CO",2019-01-11 11:00:00,400,18171
28,"CO",2019-01-11 12:00:00,400,18172
28,"CO",2019-01-11 13:00:00,300,18173
28,"CO",2019-01-11 14:00:00,300,18174
28,"CO",2019-01-11 15:00:00,300,18175
28,"CO",2019-01-11 16:00:00,300,18176
28,"CO",2019-01-11 17:00:00,300,18177
28,"CO",2019-01-11 18:00:00,400,18178
28,"CO",2019-01-11 19:00:00,400,18179
28,"CO",2019-01-11 20:00:00,500,18180
28,"CO",2019-01-11 21:00:00,500,18181
28,"CO",2019-01-11 22:00:00,700,18182
28,"CO",2019-01-11 23:00:00,800,18183
28,"CO",2019-01-12 00:00:00,600,18184
28,"CO",2019-01-12 01:00:00,400,18185
28,"CO",2019-01-12 02:00:00,400,18186
28,"CO",2019-01-12 03:00:00,400,18187
28,"CO",2019-01-12 04:00:00,400,18188
28,"CO",2019-01-12 05:00:00,300,18189
28,"CO",2019-01-12 06:00:00,300,18190
28,"CO",2019-01-12 07:00:00,400,18191
28,"CO",2019-01-12 08:00:00,400,18192
28,"CO",2019-01-12 09:00:00,400,18193
28,"CO",2019-01-12 10:00:00,500,18194
28,"CO",2019-01-12 11:00:00,200,18195
28,"CO",2019-01-12 12:00:00,200,18196
28,"CO",2019-01-12 13:00:00,300,18197
28,"CO",2019-01-12 14:00:00,300,18198
28,"CO",2019-01-12 15:00:00,300,18199
28,"CO",2019-01-12 16:00:00,300,18200
28,"CO",2019-01-12 17:00:00,300,18201
28,"CO",2019-01-12 18:00:00,300,18202
28,"CO",2019-01-12 19:00:00,300,18203
28,"CO",2019-01-12 20:00:00,300,18204
28,"CO",2019-01-12 21:00:00,200,18205
28,"CO",2019-01-12 22:00:00,200,18206
28,"CO",2019-01-12 23:00:00,200,18207
28,"CO",2019-01-13 00:00:00,300,18208
28,"CO",2019-01-13 01:00:00,300,18209
28,"CO",2019-01-13 02:00:00,300,18210
28,"CO",2019-01-13 03:00:00,300,18211
28,"CO",2019-01-13 04:00:00,200,18212
28,"CO",2019-01-13 05:00:00,200,18213
28,"CO",2019-01-13 06:00:00,200,18214
28,"CO",2019-01-13 07:00:00,300,18215
28,"CO",2019-01-13 08:00:00,300,18216
28,"CO",2019-01-13 09:00:00,200,18217
28,"CO",2019-01-13 10:00:00,200,18218
28,"CO",2019-01-13 11:00:00,200,18219
28,"CO",2019-01-13 12:00:00,200,18220
28,"CO",2019-01-13 13:00:00,200,18221
28,"CO",2019-01-13 14:00:00,200,18222
28,"CO",2019-01-13 15:00:00,200,18223
28,"CO",2019-01-13 16:00:00,200,18224
28,"CO",2019-01-13 17:00:00,200,18225
28,"CO",2019-01-13 18:00:00,300,18226
28,"CO",2019-01-13 19:00:00,300,18227
28,"CO",2019-01-13 20:00:00,300,18228
28,"CO",2019-01-13 21:00:00,300,18229
28,"CO",2019-01-13 22:00:00,200,18230
28,"CO",2019-01-13 23:00:00,200,18231
28,"CO",2019-01-14 00:00:00,200,18232
28,"CO",2019-01-14 01:00:00,200,18233
28,"CO",2019-01-14 02:00:00,200,18234
28,"CO",2019-01-14 03:00:00,200,18235
28,"CO",2019-01-14 04:00:00,200,18236
28,"CO",2019-01-14 05:00:00,300,18237
28,"CO",2019-01-14 06:00:00,200,18238
28,"CO",2019-01-14 07:00:00,200,18239
28,"CO",2019-01-14 08:00:00,200,18240
28,"CO",2019-01-14 09:00:00,200,18241
28,"CO",2019-01-14 10:00:00,200,18242
28,"CO",2019-01-14 11:00:00,200,18243
28,"CO",2019-01-14 12:00:00,200,18244
28,"CO",2019-01-14 13:00:00,400,18245
28,"CO",2019-01-14 17:00:00,200,18249
28,"CO",2019-01-14 18:00:00,200,18250
28,"CO",2019-01-14 19:00:00,300,18251
28,"CO",2019-01-14 20:00:00,200,18252
28,"CO",2019-01-14 21:00:00,300,18253
28,"CO",2019-01-14 22:00:00,300,18254
28,"CO",2019-01-14 23:00:00,300,18255
28,"CO",2019-01-15 00:00:00,300,18256
28,"CO",2019-01-15 01:00:00,300,18257
28,"CO",2019-01-15 02:00:00,200,18258
28,"CO",2019-01-15 03:00:00,200,18259
28,"CO",2019-01-15 04:00:00,200,18260
28,"CO",2019-01-15 05:00:00,200,18261
28,"CO",2019-01-15 06:00:00,200,18262
28,"CO",2019-01-15 07:00:00,200,18263
28,"CO",2019-01-15 08:00:00,400,18264
28,"CO",2019-01-15 09:00:00,700,18265
28,"CO",2019-01-15 10:00:00,400,18266
28,"CO",2019-01-15 11:00:00,300,18267
28,"CO",2019-01-16 13:00:00,400,18293
28,"CO",2019-01-16 14:00:00,400,18294
28,"CO",2019-01-16 15:00:00,300,18295
28,"CO",2019-01-16 16:00:00,300,18296
28,"CO",2019-01-16 17:00:00,300,18297
28,"CO",2019-01-16 18:00:00,300,18298
28,"CO",2019-01-16 19:00:00,300,18299
28,"CO",2019-01-16 20:00:00,300,18300
28,"CO",2019-01-16 21:00:00,400,18301
28,"CO",2019-01-16 22:00:00,500,18302
28,"CO",2019-01-16 23:00:00,700,18303
28,"CO",2019-01-17 00:00:00,400,18304
28,"CO",2019-01-17 01:00:00,400,18305
28,"CO",2019-01-17 02:00:00,400,18306
28,"CO",2019-01-17 03:00:00,300,18307
28,"CO",2019-01-17 04:00:00,200,18308
28,"CO",2019-01-17 05:00:00,200,18309
28,"CO",2019-01-17 06:00:00,200,18310
28,"CO",2019-01-17 07:00:00,200,18311
28,"CO",2019-01-17 08:00:00,200,18312
28,"CO",2019-01-17 09:00:00,200,18313
28,"CO",2019-01-17 10:00:00,400,18314
28,"CO",2019-01-17 11:00:00,200,18315
28,"CO",2019-01-17 12:00:00,200,18316
28,"CO",2019-01-17 13:00:00,200,18317
28,"CO",2019-01-17 14:00:00,200,18318
28,"CO",2019-01-17 15:00:00,200,18319
28,"CO",2019-01-17 16:00:00,200,18320
28,"CO",2019-01-17 17:00:00,200,18321
28,"CO",2019-01-17 18:00:00,200,18322
28,"CO",2019-01-17 19:00:00,200,18323
28,"CO",2019-01-17 20:00:00,200,18324
28,"CO",2019-01-17 21:00:00,200,18325
28,"CO",2019-01-17 22:00:00,200,18326
28,"CO",2019-01-17 23:00:00,200,18327
28,"CO",2019-01-18 00:00:00,200,18328
28,"CO",2019-01-18 01:00:00,200,18329
28,"CO",2019-01-18 02:00:00,200,18330
28,"CO",2019-01-18 03:00:00,200,18331
28,"CO",2019-01-18 04:00:00,200,18332
28,"CO",2019-01-18 05:00:00,200,18333
28,"CO",2019-01-18 06:00:00,200,18334
28,"CO",2019-01-18 07:00:00,200,18335
28,"CO",2019-01-18 08:00:00,200,18336
28,"CO",2019-01-18 09:00:00,400,18337
28,"CO",2019-01-18 10:00:00,200,18338
28,"CO",2019-01-18 11:00:00,300,18339
28,"CO",2019-01-18 12:00:00,200,18340
28,"CO",2019-01-18 13:00:00,200,18341
28,"CO",2019-01-18 14:00:00,200,18342
28,"CO",2019-01-18 15:00:00,200,18343
28,"CO",2019-01-18 16:00:00,200,18344
28,"CO",2019-01-18 17:00:00,200,18345
28,"CO",2019-01-18 18:00:00,200,18346
28,"CO",2019-01-18 19:00:00,300,18347
28,"CO",2019-01-18 20:00:00,300,18348
28,"CO",2019-01-18 21:00:00,400,18349
28,"CO",2019-01-18 22:00:00,300,18350
28,"CO",2019-01-18 23:00:00,400,18351
28,"CO",2019-01-19 00:00:00,300,18352
28,"CO",2019-01-19 01:00:00,400,18353
28,"CO",2019-01-19 02:00:00,300,18354
28,"CO",2019-01-19 03:00:00,300,18355
28,"CO",2019-01-19 04:00:00,200,18356
28,"CO",2019-01-19 05:00:00,300,18357
28,"CO",2019-01-19 06:00:00,300,18358
28,"CO",2019-01-19 07:00:00,300,18359
28,"CO",2019-01-19 08:00:00,300,18360
28,"CO",2019-01-19 09:00:00,300,18361
28,"CO",2019-01-19 10:00:00,300,18362
28,"CO",2019-01-19 11:00:00,200,18363
28,"CO",2019-01-19 12:00:00,200,18364
28,"CO",2019-01-19 13:00:00,200,18365
28,"CO",2019-01-19 14:00:00,200,18366
28,"CO",2019-01-19 15:00:00,200,18367
28,"CO",2019-01-19 16:00:00,300,18368
28,"CO",2019-01-19 17:00:00,200,18369
28,"CO",2019-01-19 18:00:00,300,18370
28,"CO",2019-01-19 19:00:00,300,18371
28,"CO",2019-01-19 20:00:00,400,18372
28,"CO",2019-01-19 21:00:00,400,18373
28,"CO",2019-01-19 22:00:00,600,18374
28,"CO",2019-01-19 23:00:00,500,18375
28,"CO",2019-01-20 00:00:00,500,18376
28,"CO",2019-01-20 01:00:00,400,18377
28,"CO",2019-01-20 02:00:00,300,18378
28,"CO",2019-01-20 03:00:00,200,18379
28,"CO",2019-01-20 04:00:00,200,18380
28,"CO",2019-01-20 05:00:00,200,18381
28,"CO",2019-01-20 06:00:00,200,18382
28,"CO",2019-01-20 07:00:00,200,18383
28,"CO",2019-01-20 08:00:00,200,18384
28,"CO",2019-01-20 09:00:00,200,18385
28,"CO",2019-01-20 10:00:00,200,18386
28,"CO",2019-01-20 11:00:00,200,18387
28,"CO",2019-01-20 12:00:00,200,18388
28,"CO",2019-01-20 13:00:00,200,18389
28,"CO",2019-01-20 14:00:00,200,18390
28,"CO",2019-01-20 15:00:00,200,18391
28,"CO",2019-01-20 16:00:00,200,18392
28,"CO",2019-01-20 17:00:00,200,18393
28,"CO",2019-01-20 18:00:00,200,18394
28,"CO",2019-01-20 19:00:00,300,18395
28,"CO",2019-01-20 20:00:00,500,18396
28,"CO",2019-01-20 21:00:00,500,18397
28,"CO",2019-01-20 22:00:00,600,18398
28,"CO",2019-01-20 23:00:00,400,18399
28,"CO",2019-01-21 00:00:00,300,18400
28,"CO",2019-01-21 01:00:00,300,18401
28,"CO",2019-01-21 02:00:00,300,18402
28,"CO",2019-01-21 03:00:00,300,18403
28,"CO",2019-01-21 04:00:00,300,18404
28,"CO",2019-01-21 05:00:00,200,18405
28,"CO",2019-01-21 06:00:00,200,18406
28,"CO",2019-01-21 07:00:00,200,18407
28,"CO",2019-01-21 08:00:00,300,18408
28,"CO",2019-01-21 09:00:00,300,18409
28,"CO",2019-01-21 10:00:00,300,18410
28,"CO",2019-01-21 11:00:00,200,18411
28,"CO",2019-01-21 12:00:00,200,18412
28,"CO",2019-01-21 13:00:00,200,18413
28,"CO",2019-01-21 14:00:00,200,18414
28,"CO",2019-01-21 15:00:00,200,18415
28,"CO",2019-01-21 16:00:00,200,18416
28,"CO",2019-01-21 17:00:00,200,18417
28,"CO",2019-01-21 18:00:00,300,18418
28,"CO",2019-01-21 19:00:00,400,18419
28,"CO",2019-01-21 20:00:00,400,18420
28,"CO",2019-01-21 21:00:00,300,18421
28,"CO",2019-01-21 22:00:00,300,18422
28,"CO",2019-01-21 23:00:00,200,18423
28,"CO",2019-01-22 00:00:00,200,18424
28,"CO",2019-01-22 01:00:00,200,18425
28,"CO",2019-01-22 02:00:00,200,18426
28,"CO",2019-01-22 03:00:00,300,18427
28,"CO",2019-01-22 04:00:00,300,18428
28,"CO",2019-01-22 05:00:00,300,18429
28,"CO",2019-01-22 06:00:00,300,18430
28,"CO",2019-01-22 07:00:00,300,18431
28,"CO",2019-01-22 08:00:00,400,18432
28,"CO",2019-01-22 09:00:00,600,18433
28,"CO",2019-01-22 10:00:00,500,18434
28,"CO",2019-01-22 11:00:00,300,18435
28,"CO",2019-01-22 12:00:00,300,18436
28,"CO",2019-01-22 13:00:00,300,18437
28,"CO",2019-01-22 14:00:00,300,18438
28,"CO",2019-01-22 15:00:00,300,18439
28,"CO",2019-01-22 16:00:00,300,18440
28,"CO",2019-01-22 17:00:00,300,18441
28,"CO",2019-01-22 18:00:00,300,18442
28,"CO",2019-01-22 19:00:00,300,18443
28,"CO",2019-01-22 20:00:00,300,18444
28,"CO",2019-01-22 21:00:00,200,18445
28,"CO",2019-01-22 22:00:00,300,18446
28,"CO",2019-01-22 23:00:00,300,18447
28,"CO",2019-01-23 00:00:00,200,18448
28,"CO",2019-01-23 01:00:00,200,18449
28,"CO",2019-01-23 02:00:00,200,18450
28,"CO",2019-01-23 03:00:00,200,18451
28,"CO",2019-01-23 04:00:00,200,18452
28,"CO",2019-01-23 05:00:00,200,18453
28,"CO",2019-01-23 06:00:00,200,18454
28,"CO",2019-01-23 07:00:00,200,18455
28,"CO",2019-01-23 08:00:00,200,18456
28,"CO",2019-01-23 09:00:00,200,18457
28,"CO",2019-01-23 10:00:00,300,18458
28,"CO",2019-01-23 11:00:00,300,18459
28,"CO",2019-01-23 12:00:00,300,18460
28,"CO",2019-01-23 13:00:00,200,18461
28,"CO",2019-01-23 14:00:00,200,18462
28,"CO",2019-01-23 15:00:00,200,18463
28,"CO",2019-01-23 16:00:00,200,18464
28,"CO",2019-01-23 17:00:00,200,18465
28,"CO",2019-01-23 18:00:00,200,18466
28,"CO",2019-01-23 19:00:00,200,18467
28,"CO",2019-01-23 20:00:00,200,18468
28,"CO",2019-01-23 21:00:00,200,18469
28,"CO",2019-01-23 22:00:00,200,18470
28,"CO",2019-01-23 23:00:00,300,18471
28,"CO",2019-01-24 00:00:00,300,18472
28,"CO",2019-01-24 01:00:00,300,18473
28,"CO",2019-01-24 02:00:00,200,18474
28,"CO",2019-01-24 03:00:00,200,18475
28,"CO",2019-01-24 04:00:00,200,18476
28,"CO",2019-01-24 05:00:00,200,18477
28,"CO",2019-01-24 06:00:00,200,18478
28,"CO",2019-01-24 07:00:00,200,18479
28,"CO",2019-01-24 08:00:00,200,18480
28,"CO",2019-01-24 09:00:00,300,18481
28,"CO",2019-01-24 10:00:00,300,18482
28,"CO",2019-01-24 11:00:00,200,18483
28,"CO",2019-01-24 12:00:00,200,18484
28,"CO",2019-01-24 13:00:00,200,18485
28,"CO",2019-01-24 14:00:00,300,18486
28,"CO",2019-01-24 15:00:00,300,18487
28,"CO",2019-01-24 16:00:00,200,18488
28,"CO",2019-01-24 17:00:00,200,18489
28,"CO",2019-01-24 18:00:00,200,18490
28,"CO",2019-01-24 19:00:00,200,18491
28,"CO",2019-01-24 20:00:00,300,18492
28,"CO",2019-01-24 21:00:00,300,18493
28,"CO",2019-01-24 22:00:00,300,18494
28,"CO",2019-01-24 23:00:00,300,18495
28,"CO",2019-01-25 00:00:00,200,18496
28,"CO",2019-01-25 01:00:00,200,18497
28,"CO",2019-01-25 02:00:00,200,18498
28,"CO",2019-01-25 03:00:00,200,18499
28,"CO",2019-01-25 04:00:00,200,18500
28,"CO",2019-01-25 05:00:00,200,18501
28,"CO",2019-01-25 06:00:00,300,18502
28,"CO",2019-01-25 07:00:00,300,18503
28,"CO",2019-01-25 08:00:00,400,18504
28,"CO",2019-01-25 09:00:00,600,18505
28,"CO",2019-01-25 10:00:00,500,18506
28,"CO",2019-01-25 11:00:00,300,18507
28,"CO",2019-01-25 12:00:00,200,18508
28,"CO",2019-01-25 13:00:00,200,18509
28,"CO",2019-01-25 14:00:00,200,18510
28,"CO",2019-01-25 15:00:00,200,18511
28,"CO",2019-01-25 16:00:00,200,18512
28,"CO",2019-01-25 17:00:00,200,18513
28,"CO",2019-01-25 18:00:00,200,18514
28,"CO",2019-01-25 19:00:00,200,18515
28,"CO",2019-01-25 20:00:00,200,18516
28,"CO",2019-01-25 21:00:00,200,18517
28,"CO",2019-01-25 22:00:00,200,18518
28,"CO",2019-01-25 23:00:00,200,18519
28,"CO",2019-01-26 00:00:00,200,18520
28,"CO",2019-01-26 01:00:00,200,18521
28,"CO",2019-01-26 02:00:00,200,18522
28,"CO",2019-01-26 03:00:00,200,18523
28,"CO",2019-01-26 04:00:00,200,18524
28,"CO",2019-01-26 05:00:00,200,18525
28,"CO",2019-01-26 06:00:00,200,18526
28,"CO",2019-01-26 07:00:00,200,18527
